CNT,TARGET,CURRENT,COUNTS
0,0,0,0
1,5,0,0
2,5,0,0
3,5,11,10
4,5,6,17
5,5,5,24
6,5,5,30
7,5,6,37
8,5,5,42
9,5,6,49
10,5,5,55
11,10,9,66
12,10,10,77
13,10,10,89
14,10,10,101
15,10,10,113
16,10,10,125
17,10,10,137
18,10,10,149
19,10,10,161
20,10,10,173
21,15,14,189
22,15,15,206
23,15,14,223
24,15,15,241
25,15,15,258
26,15,15,275
27,15,15,293
28,15,15,311
29,15,15,328
30,20,15,346
31,20,19,367
32,20,20,390
33,20,20,413
34,20,20,436
35,20,20,459
36,20,20,482
37,20,20,506
38,20,20,529
39,20,20,553
40,25,20,576
41,25,24,603
42,25,24,631
43,25,25,660
44,25,25,689
45,25,25,718
46,25,25,747
47,25,25,776
48,25,25,805
49,25,25,834
50,25,25,863
51,30,29,896
52,30,29,930
53,30,30,965
54,30,30,999
55,30,30,1034
56,30,30,1069
57,30,30,1104
58,30,30,1138
59,30,30,1173
60,35,30,1208
61,35,34,1246
62,35,35,1286
63,35,35,1326
64,35,35,1366
65,35,35,1407
66,35,35,1448
67,35,35,1488
68,35,35,1529
69,35,35,1570
70,35,35,1610
71,40,38,1654
72,40,39,1700
73,40,40,1745
74,40,40,1791
75,40,40,1838
76,40,40,1884
77,40,40,1930
78,40,40,1976
79,40,39,2022
80,40,40,2069
81,45,44,2118
82,45,45,2170
83,45,45,2222
84,45,45,2273
85,45,45,2325
86,45,45,2377
87,45,45,2429
88,45,45,2481
89,45,45,2533
90,50,45,2585
91,50,49,2641
92,50,50,2698
93,50,50,2755
94,50,50,2813
95,50,50,2871
96,50,50,2929
97,50,50,2987
98,50,50,3045
99,50,50,3103
100,50,50,3161
101,55,54,3222
102,55,55,3285
103,55,55,3348
104,55,55,3411
105,55,55,3475
106,55,55,3539
107,55,55,3602
108,55,55,3666
109,55,55,3730
110,55,55,3794
111,60,59,3861
112,60,60,3930
113,60,60,3999
114,60,60,4068
115,60,60,4137
116,60,60,4206
117,60,60,4275
118,60,60,4344
119,60,60,4413
120,60,59,4482
121,65,64,4555
122,65,65,4630
123,65,65,4704
124,65,65,4779
125,65,65,4853
126,65,65,4928
127,65,65,5003
128,65,65,5078
129,65,65,5153
130,65,65,5228
131,70,69,5307
132,70,70,5387
133,70,70,5467
134,70,70,5547
135,70,70,5628
136,70,70,5708
137,70,70,5789
138,70,70,5869
139,70,70,5950
140,75,70,6030
141,75,74,6114
142,75,75,6200
143,75,75,6286
144,75,75,6372
145,75,75,6458
146,75,75,6545
147,75,75,6631
148,75,75,6718
149,75,75,6804
150,80,75,6891
151,80,79,6981
152,80,80,7072
153,80,80,7164
154,80,79,7256
155,80,80,7348
156,80,80,7440
157,80,80,7531
158,80,80,7624
159,80,80,7715
160,80,80,7807
161,85,85,7904
162,85,84,8001
163,85,85,8099
164,85,85,8197
165,85,85,8295
166,85,85,8394
167,85,85,8492
168,85,85,8590
169,85,85,8688
170,85,85,8786
171,90,90,8888
172,90,90,8991
173,90,89,9095
174,90,90,9198
175,90,90,9301
176,90,90,9405
177,90,90,9509
178,90,90,9612
179,90,90,9716
180,90,90,9820
181,95,95,9928
182,95,95,10037
183,95,95,10146
184,95,95,10255
185,95,95,10364
186,95,95,10473
187,95,95,10582
188,95,95,10691
189,95,95,10800
190,100,95,10909
191,100,99,11022
192,100,100,11137
193,100,100,11251
194,100,100,11366
195,100,100,11480
196,100,100,11595
197,100,100,11710
198,100,100,11825
199,100,100,11940
200,95,100,12055
201,95,95,12166
202,95,96,12276
203,95,95,12386
204,95,95,12495
205,95,95,12605
206,95,95,12714
207,95,95,12824
208,95,95,12934
209,95,95,13043
210,95,95,13153
211,90,90,13258
212,90,91,13362
213,90,90,13466
214,90,90,13570
215,90,90,13674
216,90,90,13778
217,90,90,13882
218,90,90,13986
219,90,90,14090
220,90,90,14193
221,85,84,14292
222,85,86,14390
223,85,85,14488
224,85,85,14586
225,85,85,14685
226,85,85,14783
227,85,85,14881
228,85,85,14979
229,85,85,15077
230,85,85,15175
231,80,80,15269
232,80,80,15361
233,80,80,15454
234,80,80,15547
235,80,80,15639
236,80,80,15732
237,80,80,15825
238,80,80,15917
239,80,80,16010
240,80,80,16102
241,75,75,16190
242,75,75,16278
243,75,75,16364
244,75,75,16451
245,75,76,16538
246,75,75,16625
247,75,75,16712
248,75,75,16798
249,75,75,16885
250,70,75,16972
251,70,70,17054
252,70,71,17135
253,70,70,17217
254,70,71,17298
255,70,70,17379
256,70,70,17460
257,70,70,17541
258,70,70,17622
259,70,70,17703
260,65,70,17784
261,65,65,17861
262,65,65,17936
263,65,65,18012
264,65,65,18087
265,65,65,18163
266,65,65,18238
267,65,65,18313
268,65,65,18389
269,65,65,18464
270,65,65,18539
271,60,61,18610
272,60,61,18680
273,60,60,18749
274,60,60,18819
275,60,60,18889
276,60,60,18958
277,60,60,19028
278,60,60,19098
279,60,60,19167
280,55,60,19237
281,55,56,19303
282,55,55,19367
283,55,55,19431
284,55,55,19494
285,55,55,19558
286,55,55,19622
287,55,55,19685
288,55,55,19749
289,55,55,19813
290,55,55,19876
291,50,51,19936
292,50,50,19995
293,50,51,20053
294,50,50,20111
295,50,50,20170
296,50,51,20228
297,50,50,20286
298,50,50,20344
299,50,50,20402
300,45,50,20460
301,45,46,20514
302,45,46,20567
303,45,45,20619
304,45,45,20672
305,45,45,20724
306,45,45,20777
307,45,45,20829
308,45,45,20882
309,45,45,20934
310,45,45,20987
311,40,41,21035
312,40,40,21082
313,40,41,21129
314,40,40,21176
315,40,40,21222
316,40,40,21269
317,40,40,21316
318,40,40,21362
319,40,40,21409
320,40,40,21455
321,35,36,21498
322,35,36,21539
323,35,35,21581
324,35,35,21622
325,35,35,21663
326,35,35,21703
327,35,35,21744
328,35,35,21785
329,35,35,21826
330,35,35,21866
331,30,31,21904
332,30,31,21940
333,30,30,21975
334,30,30,22010
335,30,30,22046
336,30,30,22081
337,30,30,22116
338,30,30,22151
339,30,30,22186
340,30,30,22221
341,25,26,22253
342,25,25,22283
343,25,25,22312
344,25,25,22342
345,25,25,22371
346,25,25,22401
347,25,25,22430
348,25,25,22460
349,25,25,22489
350,25,25,22519
351,20,21,22545
352,20,20,22569
353,20,20,22593
354,20,21,22617
355,20,20,22641
356,20,20,22664
357,20,20,22688
358,20,20,22712
359,20,20,22735
360,15,20,22759
361,15,16,22779
362,15,16,22797
363,15,15,22816
364,15,15,22834
365,15,15,22852
366,15,15,22870
367,15,15,22888
368,15,15,22906
369,15,15,22924
370,10,15,22942
371,10,11,22956
372,10,10,22969
373,10,10,22982
374,10,10,22994
375,10,10,23006
376,10,10,23018
377,10,10,23031
378,10,10,23043
379,10,10,23055
380,10,10,23067
381,5,5,23075
382,5,6,23082
383,5,5,23088
384,5,5,23094
385,5,5,23101
386,5,5,23107
387,5,6,23113
388,5,5,23119
389,5,5,23125
390,5,6,23132
391,0,0,23132
392,0,0,23132
393,0,0,23132
394,0,0,23132
395,0,0,23132
396,0,0,23132
397,0,0,23132
398,0,0,23132
399,0,0,23132
400,0,0,23132
401,-5,0,23132
402,-5,0,23131
403,-5,0,23131
404,-5,0,23131
405,-5,0,23131
406,-5,-14,23123
407,-5,-6,23115
408,-5,-5,23108
409,-5,-5,23102
410,-5,-6,23095
411,-10,-10,23084
412,-10,-10,23073
413,-10,-10,23061
414,-10,-10,23049
415,-10,-11,23036
416,-10,-10,23024
417,-10,-10,23012
418,-10,-10,23000
419,-10,-10,22987
420,-10,-10,22975
421,-15,-14,22959
422,-15,-15,22942
423,-15,-15,22925
424,-15,-15,22907
425,-15,-15,22890
426,-15,-15,22872
427,-15,-15,22855
428,-15,-15,22837
429,-15,-15,22819
430,-15,-15,22802
431,-20,-18,22780
432,-20,-20,22758
433,-20,-20,22735
434,-20,-20,22712
435,-20,-20,22688
436,-20,-20,22665
437,-20,-20,22641
438,-20,-20,22618
439,-20,-20,22594
440,-25,-20,22571
441,-25,-24,22544
442,-25,-24,22515
443,-25,-25,22487
444,-25,-25,22458
445,-25,-25,22428
446,-25,-25,22399
447,-25,-25,22370
448,-25,-25,22341
449,-25,-25,22311
450,-25,-25,22282
451,-30,-29,22249
452,-30,-30,22215
453,-30,-30,22181
454,-30,-30,22146
455,-30,-30,22112
456,-30,-29,22077
457,-30,-30,22042
458,-30,-30,22008
459,-30,-30,21973
460,-30,-30,21938
461,-35,-34,21899
462,-35,-35,21860
463,-35,-35,21819
464,-35,-35,21779
465,-35,-35,21739
466,-35,-35,21698
467,-35,-35,21658
468,-35,-35,21617
469,-35,-35,21576
470,-40,-35,21536
471,-40,-39,21492
472,-40,-39,21446
473,-40,-40,21401
474,-40,-40,21354
475,-40,-40,21308
476,-40,-40,21262
477,-40,-40,21215
478,-40,-40,21169
479,-40,-40,21122
480,-40,-40,21076
481,-45,-44,21026
482,-45,-44,20974
483,-45,-44,20923
484,-45,-45,20871
485,-45,-45,20819
486,-45,-45,20767
487,-45,-45,20715
488,-45,-45,20663
489,-45,-45,20612
490,-45,-45,20560
491,-50,-49,20504
492,-50,-50,20447
493,-50,-50,20390
494,-50,-50,20332
495,-50,-49,20275
496,-50,-50,20218
497,-50,-50,20160
498,-50,-50,20102
499,-50,-50,20045
500,-50,-50,19988
501,-55,-54,19926
502,-55,-55,19864
503,-55,-55,19801
504,-55,-55,19737
505,-55,-55,19674
506,-55,-55,19611
507,-55,-55,19548
508,-55,-55,19484
509,-55,-55,19421
510,-55,-55,19357
511,-60,-59,19290
512,-60,-60,19222
513,-60,-60,19153
514,-60,-60,19084
515,-60,-60,19015
516,-60,-60,18946
517,-60,-60,18877
518,-60,-60,18808
519,-60,-60,18738
520,-60,-60,18669
521,-65,-64,18596
522,-65,-64,18521
523,-65,-65,18447
524,-65,-65,18372
525,-65,-65,18297
526,-65,-65,18222
527,-65,-65,18147
528,-65,-65,18073
529,-65,-65,17998
530,-65,-65,17923
531,-70,-69,17844
532,-70,-70,17764
