CNT,TARGET,CURRENT,COUNTS
0,0,3,0
1,5,4,7
2,5,5,16
3,5,5,25
4,5,4,34
5,5,5,44
6,5,5,53
7,5,5,63
8,5,5,74
9,5,5,84
10,10,5,94
11,10,8,108
12,10,9,125
13,10,10,144
14,10,10,163
15,10,10,182
16,10,10,201
17,10,10,220
18,10,10,239
19,10,10,257
20,10,10,276
21,15,14,298
22,15,14,323
23,15,15,350
24,15,15,378
25,15,14,405
26,15,15,433
27,15,16,461
28,15,15,490
29,15,16,519
30,15,16,548
31,20,18,578
32,20,19,613
33,20,21,649
34,20,20,686
35,20,20,723
36,20,19,759
37,20,20,795
38,20,20,832
39,20,21,871
40,20,20,908
41,25,23,949
42,25,24,992
43,25,24,1038
44,25,24,1084
45,25,25,1129
46,25,27,1174
47,25,26,1221
48,25,26,1268
49,25,25,1314
50,25,25,1360
51,30,28,1409
52,30,30,1462
53,30,29,1515
54,30,30,1570
55,30,29,1626
56,30,30,1682
57,30,29,1737
58,30,29,1792
59,30,29,1847
60,30,31,1901
61,35,33,1959
62,35,35,2022
63,35,35,2086
64,35,35,2151
65,35,34,2214
66,35,35,2278
67,35,35,2343
68,35,34,2408
69,35,34,2473
70,35,34,2537
71,40,37,2602
72,40,40,2674
73,40,40,2748
74,40,39,2822
75,40,40,2895
76,40,38,2967
77,40,40,3040
78,40,40,3114
79,40,40,3188
80,40,38,3261
81,45,43,3336
82,45,44,3417
83,45,46,3500
84,45,46,3583
85,45,44,3665
86,45,47,3747
87,45,45,3830
88,45,45,3913
89,45,45,3995
90,45,44,4076
91,50,47,4160
92,50,47,4246
93,50,47,4332
94,50,46,4416
95,50,46,4501
96,50,47,4587
97,50,47,4673
98,50,45,4758
99,50,47,4842
100,50,47,4928
101,55,47,5014
102,55,45,5100
103,55,47,5185
104,55,49,5272
105,55,46,5359
106,55,47,5445
107,55,47,5530
108,55,47,5616
109,55,49,5703
110,55,48,5790
111,60,44,5875
112,60,48,5961
113,60,48,6048
114,60,48,6135
115,60,45,6220
116,60,48,6306
117,60,48,6393
118,60,47,6480
119,60,45,6566
120,60,47,6652
121,65,48,6738
122,65,49,6826
123,65,47,6912
124,65,47,6997
125,65,47,7084
126,65,49,7171
127,65,49,7258
128,65,47,7343
129,65,48,7430
130,65,49,7517
131,70,48,7604
132,70,45,7689
133,70,49,7776
134,70,47,7864
135,70,46,7950
136,70,46,8036
137,70,49,8122
138,70,48,8209
139,70,47,8296
140,75,46,8382
141,75,48,8468
142,75,46,8556
143,75,48,8643
144,75,48,8728
145,75,48,8814
146,75,48,8902
147,75,48,8989
148,75,44,9075
149,75,47,9161
150,75,48,9248
151,80,47,9335
152,80,46,9422
153,80,47,9507
154,80,48,9594
155,80,49,9682
156,80,47,9768
157,80,48,9854
158,80,48,9940
159,80,49,10028
160,80,47,10115
161,85,48,10200
162,85,48,10287
163,85,48,10374
164,85,47,10462
165,85,47,10547
166,85,48,10634
167,85,48,10721
168,85,48,10808
169,85,46,10894
170,85,46,10980
171,90,49,11067
172,90,47,11154
173,90,49,11240
174,90,47,11326
175,90,47,11413
176,90,48,11501
177,90,46,11587
178,90,46,11673
179,90,48,11760
180,90,48,11848
181,95,48,11934
182,95,46,12020
183,95,47,12107
184,95,49,12194
185,95,47,12282
186,95,46,12367
187,95,49,12454
188,95,48,12542
189,95,49,12629
190,95,47,12714
191,100,47,12801
192,100,49,12888
193,100,46,12976
194,100,47,13061
195,100,48,13147
196,100,48,13235
197,100,47,13322
198,100,45,13408
199,100,47,13494
200,100,48,13581
201,95,49,13669
202,95,47,13755
203,95,47,13841
204,95,49,13928
205,95,49,14016
206,95,45,14102
207,95,47,14188
208,95,49,14275
209,95,48,14362
210,95,47,14449
211,90,46,14534
212,90,49,14621
213,90,45,14709
214,90,48,14796
215,90,48,14881
216,90,48,14968
217,90,48,15055
218,90,47,15142
219,90,46,15228
220,90,49,15314
221,85,48,15402
222,85,48,15489
223,85,47,15574
224,85,45,15660
225,85,48,15748
226,85,47,15836
227,85,48,15922
228,85,47,16007
229,85,47,16095
230,85,46,16182
231,80,46,16268
232,80,46,16354
233,80,47,16442
234,80,47,16529
235,80,47,16616
236,80,47,16701
237,80,48,16788
238,80,49,16876
239,80,48,16963
240,80,47,17048
241,75,49,17135
242,75,47,17222
243,75,48,17310
244,75,47,17395
245,75,48,17481
246,75,49,17569
247,75,48,17656
248,75,47,17742
249,75,47,17828
250,75,47,17915
251,70,47,18002
252,70,47,18088
253,70,48,18174
254,70,47,18261
255,70,46,18349
256,70,44,18435
257,70,48,18520
258,70,49,18608
259,70,49,18695
260,70,46,18782
261,65,46,18867
262,65,49,18954
263,65,48,19041
264,65,47,19128
265,65,48,19213
266,65,48,19300
267,65,48,19387
268,65,47,19474
269,65,48,19559
270,65,47,19646
271,60,48,19733
272,60,49,19820
273,60,46,19905
274,60,48,19991
275,60,46,20078
276,60,48,20166
277,60,48,20251
278,60,48,20337
279,60,48,20424
280,60,47,20511
281,55,46,20597
282,55,48,20682
283,55,47,20769
284,55,47,20856
285,55,46,20942
286,55,46,21027
287,55,47,21113
288,55,48,21200
289,55,46,21286
290,55,47,21372
291,50,49,21457
292,50,48,21544
293,50,47,21630
294,50,45,21714
295,50,48,21799
296,50,47,21885
297,50,47,21971
298,50,46,22056
299,50,48,22141
300,50,46,22227
301,45,46,22310
302,45,44,22392
303,45,46,22473
304,45,46,22556
305,45,47,22640
306,45,44,22722
307,45,43,22803
308,45,45,22886
309,45,46,22969
310,40,45,23052
311,40,41,23130
312,40,41,23206
313,40,41,23281
314,40,40,23355
315,40,39,23428
316,40,40,23500
317,40,41,23573
318,40,40,23647
319,40,40,23721
320,35,40,23793
321,35,38,23862
322,35,36,23929
323,35,34,23995
324,35,35,24060
325,35,37,24125
326,35,33,24188
327,35,33,24252
328,35,35,24317
329,35,34,24382
330,30,34,24446
331,30,32,24508
332,30,29,24564
333,30,30,24619
334,30,30,24675
335,30,29,24731
336,30,31,24786
337,30,30,24841
338,30,30,24895
339,30,28,24949
340,30,31,25005
341,25,27,25058
342,25,26,25106
343,25,26,25152
344,25,24,25198
345,25,24,25243
346,25,24,25288
347,25,27,25335
348,25,26,25382
349,25,24,25429
350,25,27,25475
351,20,22,25518
352,20,20,25556
353,20,21,25594
354,20,19,25629
355,20,21,25666
356,20,21,25704
357,20,20,25742
358,20,20,25780
359,20,20,25817
360,20,21,25854
361,15,16,25888
362,15,16,25918
363,15,15,25946
364,15,14,25973
365,15,15,26000
366,15,16,26028
367,15,16,26058
368,15,15,26086
369,15,15,26115
370,10,15,26143
371,10,12,26168
372,10,11,26189
373,10,10,26209
374,10,10,26228
375,10,10,26247
376,10,10,26265
377,10,10,26284
378,10,10,26303
379,10,9,26320
380,5,9,26338
381,5,7,26354
382,5,6,26366
383,5,6,26377
384,5,6,26388
385,5,5,26399
386,5,5,26409
387,5,5,26420
388,5,5,26430
389,5,5,26440
390,0,5,26450
391,0,0,26453
392,0,0,26452
393,0,0,26452
394,0,0,26453
395,0,-2,26452
396,0,2,26455
397,0,-3,26452
398,0,2,26456
399,0,-3,26452
400,-5,2,26456
401,-5,-6,26447
402,-5,-5,26436
403,-5,-5,26425
404,-5,-5,26415
405,-5,-5,26404
406,-5,-5,26394
407,-5,-5,26384
408,-5,-5,26373
409,-5,-5,26363
410,-5,-5,26353
411,-10,-8,26341
412,-10,-9,26324
413,-10,-10,26306
414,-10,-11,26287
415,-10,-10,26267
416,-10,-10,26248
417,-10,-10,26228
418,-10,-10,26209
419,-10,-11,26190
420,-15,-10,26171
421,-15,-13,26149
422,-15,-14,26123
423,-15,-15,26096
424,-15,-15,26068
425,-15,-16,26040
426,-15,-15,26012
427,-15,-14,25984
428,-15,-15,25957
429,-15,-15,25929
430,-20,-14,25901
431,-20,-18,25870
432,-20,-19,25835
433,-20,-20,25798
434,-20,-19,25762
435,-20,-21,25724
436,-20,-21,25687
437,-20,-20,25650
438,-20,-20,25613
439,-20,-19,25577
440,-25,-20,25539
441,-25,-22,25499
442,-25,-24,25455
443,-25,-25,25410
444,-25,-25,25364
445,-25,-26,25318
446,-25,-26,25272
447,-25,-26,25226
448,-25,-24,25180
449,-25,-25,25134
450,-30,-24,25088
451,-30,-28,25039
452,-30,-28,24986
453,-30,-30,24931
454,-30,-30,24876
455,-30,-29,24821
456,-30,-31,24766
457,-30,-29,24711
458,-30,-29,24656
459,-30,-30,24600
460,-35,-31,24545
461,-35,-33,24488
462,-35,-35,24425
463,-35,-35,24361
464,-35,-35,24296
465,-35,-33,24232
466,-35,-35,24167
467,-35,-35,24103
468,-35,-36,24039
469,-35,-36,23974
470,-40,-34,23910
471,-40,-37,23842
472,-40,-41,23772
473,-40,-40,23699
474,-40,-39,23625
475,-40,-40,23552
476,-40,-41,23478
477,-40,-40,23406
478,-40,-39,23332
479,-40,-40,23259
480,-40,-43,23186
481,-45,-42,23110
482,-45,-44,23030
483,-45,-46,22948
484,-45,-45,22866
485,-45,-45,22783
486,-45,-44,22701
487,-45,-46,22619
488,-45,-44,22537
489,-45,-45,22454
490,-50,-45,22372
491,-50,-48,22288
492,-50,-48,22202
493,-50,-48,22115
494,-50,-47,22028
495,-50,-48,21942
496,-50,-47,21855
497,-50,-48,21768
498,-50,-46,21681
499,-50,-48,21594
500,-50,-47,21508
501,-55,-48,21420
502,-55,-48,21333
503,-55,-46,21245
504,-55,-48,21158
505,-55,-48,21070
506,-55,-48,20982
507,-55,-48,20895
508,-55,-46,20807
509,-55,-46,20720
510,-60,-48,20632
511,-60,-45,20545
512,-60,-47,20458
513,-60,-48,20370
514,-60,-48,20282
515,-60,-48,20194
516,-60,-49,20107
517,-60,-45,20019
518,-60,-47,19931
519,-60,-48,19843
520,-60,-48,19756
521,-65,-48,19668
522,-65,-49,19580
523,-65,-48,19492
524,-65,-47,19405
525,-65,-48,19317
526,-65,-47,19229
527,-65,-48,19141
528,-65,-47,19054
529,-65,-47,18966
530,-70,-47,18878
531,-70,-49,18789
532,-70,-48,18702
533,-70,-47,18614
534,-70,-48,18526
535,-70,-48,18438
536,-70,-48,18350
537,-70,-50,18262
538,-70,-49,18174
539,-70,-48,18086
540,-75,-48,17998
541,-75,-48,17911
542,-75,-47,17823
543,-75,-48,17735
544,-75,-49,17647
545,-75,-47,17560
546,-75,-49,17472
547,-75,-48,17384
548,-75,-48,17296
549,-75,-47,17208
550,-80,-47,17120
551,-80,-47,17032
552,-80,-47,16944
553,-80,-48,16857
554,-80,-46,16769
555,-80,-49,16681
556,-80,-48,16593
557,-80,-50,16505
558,-80,-49,16417
559,-80,-49,16329
560,-85,-46,16241
561,-85,-48,16154
562,-85,-47,16066
563,-85,-48,15977
564,-85,-48,15889
565,-85,-47,15802
566,-85,-48,15714
567,-85,-48,15626
568,-85,-47,15537
569,-85,-47,15450
570,-85,-48,15362
571,-90,-48,15274
572,-90,-50,15186
573,-90,-48,15098
574,-90,-48,15010
575,-90,-48,14922
576,-90,-48,14834
577,-90,-48,14746
578,-90,-49,14658
579,-90,-49,14570
580,-95,-48,14482
581,-95,-47,14395
582,-95,-48,14307
583,-95,-46,14219
584,-95,-50,14131
585,-95,-48,14043
586,-95,-48,13956
587,-95,-48,13868
588,-95,-49,13779
589,-95,-47,13692
590,-100,-49,13604
591,-100,-47,13516
592,-100,-47,13428
593,-100,-47,13340
594,-100,-48,13252
595,-100,-48,13164
596,-100,-48,13076
597,-100,-48,12988
598,-100,-49,12901
599,-100,-49,12813
600,-95,-47,12725
601,-95,-47,12637
602,-95,-49,12550
603,-95,-47,12462
604,-95,-47,12373
605,-95,-48,12285
606,-95,-48,12198
607,-95,-48,12110
608,-95,-48,12022
609,-95,-48,11934
610,-95,-49,11846
611,-90,-49,11758
612,-90,-47,11670
613,-90,-48,11582
614,-90,-49,11494
615,-90,-47,11406
616,-90,-48,11318
617,-90,-48,11230
618,-90,-49,11142
619,-90,-48,11055
620,-90,-48,10967
621,-85,-47,10878
622,-85,-47,10791
623,-85,-47,10703
624,-85,-48,10615
625,-85,-48,10527
626,-85,-49,10439
627,-85,-47,10351
628,-85,-50,10263
629,-85,-49,10175
630,-85,-48,10087
631,-80,-48,10000
632,-80,-49,9912
633,-80,-48,9823
634,-80,-48,9736
635,-80,-48,9648
636,-80,-47,9560
637,-80,-47,9472
638,-80,-47,9384
639,-80,-48,9296
640,-80,-48,9208
641,-75,-48,9120
642,-75,-47,9032
643,-75,-49,8944
644,-75,-48,8856
645,-75,-49,8768
646,-75,-49,8680
647,-75,-47,8592
648,-75,-47,8505
649,-75,-49,8416
650,-70,-48,8328
651,-70,-47,8241
652,-70,-47,8153
653,-70,-47,8064
654,-70,-48,7976
655,-70,-48,7889
656,-70,-45,7801
657,-70,-48,7713
658,-70,-49,7624
659,-70,-48,7537
660,-65,-47,7449
661,-65,-48,7361
662,-65,-50,7273
663,-65,-48,7186
664,-65,-46,7098
665,-65,-45,7010
666,-65,-48,6921
667,-65,-47,6834
668,-65,-47,6746
669,-65,-48,6658
670,-60,-48,6570
671,-60,-46,6482
672,-60,-48,6395
673,-60,-48,6307
674,-60,-48,6218
675,-60,-47,6131
676,-60,-50,6044
677,-60,-49,5956
678,-60,-50,5868
679,-60,-49,5780
680,-60,-49,5692
681,-55,-46,5605
682,-55,-50,5517
683,-55,-48,5430
684,-55,-47,5342
685,-55,-46,5255
686,-55,-47,5167
687,-55,-46,5079
688,-55,-48,4992
689,-55,-48,4905
690,-50,-48,4817
691,-50,-47,4730
692,-50,-48,4644
693,-50,-47,4557
694,-50,-46,4470
695,-50,-48,4383
696,-50,-47,4297
697,-50,-48,4210
698,-50,-48,4123
699,-50,-49,4036
700,-45,-48,3950
701,-45,-47,3865
702,-45,-45,3782
703,-45,-43,3700
704,-45,-45,3618
705,-45,-46,3536
706,-45,-44,3453
707,-45,-46,3370
708,-45,-45,3288
709,-45,-45,3206
710,-40,-46,3124
711,-40,-43,3044
712,-40,-40,2968
713,-40,-39,2895
714,-40,-40,2822
715,-40,-39,2749
716,-40,-41,2676
717,-40,-40,2602
718,-40,-38,2530
719,-40,-40,2457
720,-40,-39,2383
721,-35,-38,2313
722,-35,-35,2246
723,-35,-35,2182
724,-35,-34,2118
725,-35,-35,2054
726,-35,-35,1990
727,-35,-36,1926
728,-35,-33,1861
729,-35,-35,1798
730,-30,-36,1733
731,-30,-33,1671
732,-30,-31,1614
733,-30,-30,1558
734,-30,-31,1502
735,-30,-30,1448
736,-30,-30,1393
737,-30,-30,1338
738,-30,-31,1282
739,-30,-31,1227
740,-25,-30,1172
741,-25,-27,1120
742,-25,-26,1072
743,-25,-26,1025
744,-25,-24,979
745,-25,-24,933
746,-25,-25,887
747,-25,-25,841
748,-25,-25,795
749,-25,-27,750
750,-25,-24,704
751,-20,-23,660
752,-20,-20,622
753,-20,-20,584
754,-20,-21,547
755,-20,-22,510
756,-20,-19,473
757,-20,-19,436
758,-20,-20,400
759,-20,-20,363
760,-15,-19,326
761,-15,-17,291
762,-15,-15,262
763,-15,-14,234
764,-15,-15,206
765,-15,-15,178
766,-15,-15,150
767,-15,-15,122
768,-15,-14,94
769,-15,-15,66
770,-15,-15,39
771,-10,-12,14
772,-10,-11,-8
773,-10,-10,-28
774,-10,-10,-47
775,-10,-10,-66
776,-10,-10,-85
777,-10,-11,-104
778,-10,-10,-123
779,-10,-10,-142
780,-5,-10,-161
781,-5,-7,-177
782,-5,-6,-190
783,-5,-5,-200
784,-5,-5,-210
785,-5,-5,-220
786,-5,-5,-230
787,-5,-5,-240
788,-5,-5,-251
789,-5,-5,-261
790,0,-5,-271
791,0,0,-272
792,0,0,-273
793,0,3,-271
794,0,-3,-274
795,0,3,-272
796,0,-3,-276
797,0,3,-272
798,0,-2,-276
799,0,3,-272
800,0,-3,-275
